age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
37-56,Working,Any,13,Any, Exec-managerial, Husband,Any, Male,0,0,13,Any, <=50K
37-56,Working,Any,9,Any, Handlers-cleaners, Not-in-family,Any, Male,0,0,40,Any, <=50K
37-56,Working,Any,7,Any, Handlers-cleaners, Husband,Any, Male,0,0,40,Any, <=50K
17-36,Working,Any,13,Any, Prof-specialty, Wife,Any, Female,0,0,40,Any, <=50K
37-56,Working,Any,14,Any, Exec-managerial, Wife,Any, Female,0,0,40,Any, <=50K
37-56,Working,Any,5,Any, Other-service, Not-in-family,Any, Female,0,0,16,Any, <=50K
37-56,Working,Any,9,Any, Exec-managerial, Husband,Any, Male,0,0,45,Any, >50K
17-36,Working,Any,14,Any, Prof-specialty, Not-in-family,Any, Female,14084,0,50,Any, >50K
37-56,Working,Any,13,Any, Exec-managerial, Husband,Any, Male,5178,0,40,Any, >50K
37-56,Working,Any,10,Any, Exec-managerial, Husband,Any, Male,0,0,80,Any, >50K
17-36,Working,Any,13,Any, Prof-specialty, Husband,Any, Male,0,0,40,Any, >50K
17-36,Working,Any,13,Any, Adm-clerical, Own-child,Any, Female,0,0,30,Any, <=50K
17-36,Working,Any,12,Any, Sales, Not-in-family,Any, Male,0,0,50,Any, <=50K
37-56,Working,Any,11,Any, Craft-repair, Husband,Any, Male,0,0,40,Any, >50K
17-36,Working,Any,4,Any, Transport-moving, Husband,Any, Male,0,0,45,Any, <=50K
17-36,Working,Any,9,Any, Farming-fishing, Own-child,Any, Male,0,0,35,Any, <=50K
17-36,Working,Any,9,Any, Machine-op-inspct, Unmarried,Any, Male,0,0,40,Any, <=50K
37-56,Working,Any,7,Any, Sales, Husband,Any, Male,0,0,50,Any, <=50K
37-56,Working,Any,14,Any, Exec-managerial, Unmarried,Any, Female,0,0,45,Any, >50K
37-56,Working,Any,16,Any, Prof-specialty, Husband,Any, Male,0,0,60,Any, >50K
37-56,Working,Any,9,Any, Other-service, Unmarried,Any, Female,0,0,20,Any, <=50K
17-36,Working,Any,5,Any, Farming-fishing, Husband,Any, Male,0,0,40,Any, <=50K
37-56,Working,Any,7,Any, Transport-moving, Husband,Any, Male,0,2042,40,Any, <=50K
57-76,Working,Any,9,Any, Tech-support, Unmarried,Any, Female,0,0,40,Any, <=50K
37-56,Working,Any,13,Any, Tech-support, Husband,Any, Male,0,0,40,Any, >50K
17-36,Working,Any,9,Any, Craft-repair, Own-child,Any, Male,0,0,40,Any, <=50K
37-56,Not working,Any,10,Any, ?, Husband,Any, Male,0,0,60,Any, >50K
37-56,Working,Any,9,Any, Exec-managerial, Not-in-family,Any, Male,0,0,80,Any, <=50K
37-56,Working,Any,9,Any, Craft-repair, Husband,Any, Male,0,0,40,Any, <=50K
17-36,Working,Any,12,Any, Protective-serv, Not-in-family,Any, Male,0,0,52,Any, <=50K
17-36,Working,Any,10,Any, Sales, Own-child,Any, Male,0,0,44,Any, <=50K
37-56,Working,Any,13,Any, Exec-managerial, Own-child,Any, Male,0,1408,40,Any, <=50K
17-36,Working,Any,10,Any, Adm-clerical, Own-child,Any, Male,0,0,40,Any, <=50K
17-36,Working,Any,10,Any, Other-service, Husband,Any, Male,0,0,15,Any, <=50K
37-56,Working,Any,7,Any, Machine-op-inspct, Unmarried,Any, Male,0,0,40,Any, <=50K
17-36,Working,Any,10,Any, Machine-op-inspct, Own-child,Any, Male,0,0,40,Any, <=50K
17-36,Working,Any,9,Any, Adm-clerical, Wife,Any, Female,0,0,25,Any, <=50K
17-36,Working,Any,10,Any, Sales, Husband,Any, Male,0,0,38,Any, >50K
37-56,Working,Any,12,Any, Prof-specialty, Husband,Any, Male,0,0,40,Any, <=50K
17-36,Working,Any,5,Any, Machine-op-inspct, Husband,Any, Male,0,0,43,Any, <=50K
37-56,Working,Any,13,Any, Prof-specialty, Husband,Any, Male,0,0,40,Any, <=50K
17-36,Working,Any,13,Any, Tech-support, Husband,Any, Male,0,0,50,Any, <=50K
37-56,Working,Any,9,Any, Adm-clerical, Unmarried,Any, Female,0,0,40,Any, <=50K
17-36,Working,Any,9,Any, Handlers-cleaners, Not-in-family,Any, Male,0,0,35,Any, <=50K
57-76,Working,Any,13,Any, Prof-specialty, Husband,Any, Male,0,0,40,Any, >50K
37-56,Working,Any,9,Any, Machine-op-inspct, Husband,Any, Male,0,0,38,Any, <=50K
37-56,Working,Any,14,Any, Exec-managerial, Unmarried,Any, Female,0,0,40,Any, <=50K
37-56,Working,Any,11,Any, Craft-repair, Husband,Any, Male,0,0,40,Any, <=50K
17-36,Working,Any,11,Any, Prof-specialty, Not-in-family,Any, Male,0,0,43,Any, <=50K
17-36,Working,Any,10,Any, Exec-managerial, Wife,Any, Female,0,0,40,Any, <=50K
17-36,Working,Any,9,Any, Other-service, Own-child,Any, Female,0,0,30,Any, <=50K
37-56,Working,Any,15,Any, Prof-specialty, Wife,Any, Female,0,1902,60,Any, >50K
37-56,Working,Any,13,Any, Exec-managerial, Not-in-family,Any, Male,0,0,55,Any, >50K
37-56,Working,Any,9,Any, Exec-managerial, Not-in-family,Any, Male,0,0,60,Any, <=50K
37-56,Working,Any,10,Any, Tech-support, Husband,Any, Male,0,0,40,Any, >50K
37-56,Working,Any,3,Any, Machine-op-inspct, Husband,Any, Male,0,0,40,Any, <=50K
17-36,Working,Any,11,Any, Other-service, Husband,Any, Male,0,0,40,Any, <=50K
37-56,Working,Any,9,Any, Adm-clerical, Husband,Any, Male,0,0,48,Any, <=50K
17-36,Working,Any,9,Any, Machine-op-inspct, Husband,Any, Male,5013,0,40,Any, <=50K
17-36,Working,Any,13,Any, Sales, Husband,Any, Male,2407,0,40,Any, <=50K
