age,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
37-56,Self-employed,High,Any, Exec-managerial,Any,Any,*,0,0,13,Any, <=50K
37-56,Private,Low,Any, Handlers-cleaners,Any,Any,*,0,0,40,Any, <=50K
37-56,Private,Low,Any, Handlers-cleaners,Any,Any,*,0,0,40,Any, <=50K
17-36,Private,High,Any, Prof-specialty,Any,Any,*,0,0,40,Any, <=50K
37-56,Private,High,Any, Exec-managerial,Any,Any,*,0,0,40,Any, <=50K
37-56,Private,Low,Any, Other-service,Any,Any,*,0,0,16,Any, <=50K
37-56,Self-employed,Low,Any, Exec-managerial,Any,Any,*,0,0,45,Any, >50K
17-36,Private,High,Any, Prof-specialty,Any,Any,*,14084,0,50,Any, >50K
37-56,Private,High,Any, Exec-managerial,Any,Any,*,5178,0,40,Any, >50K
37-56,Private,Medium,Any, Exec-managerial,Any,Any,*,0,0,80,Any, >50K
17-36,Government,High,Any, Prof-specialty,Any,Any,*,0,0,40,Any, >50K
17-36,Private,High,Any, Adm-clerical,Any,Any,*,0,0,30,Any, <=50K
17-36,Private,Medium,Any, Sales,Any,Any,*,0,0,50,Any, <=50K
37-56,Private,Medium,Any, Craft-repair,Any,Any,*,0,0,40,Any, >50K
17-36,Private,Low,Any, Transport-moving,Any,Any,*,0,0,45,Any, <=50K
17-36,Self-employed,Low,Any, Farming-fishing,Any,Any,*,0,0,35,Any, <=50K
17-36,Private,Low,Any, Machine-op-inspct,Any,Any,*,0,0,40,Any, <=50K
37-56,Private,Low,Any, Sales,Any,Any,*,0,0,50,Any, <=50K
37-56,Self-employed,High,Any, Exec-managerial,Any,Any,*,0,0,45,Any, >50K
37-56,Private,High,Any, Prof-specialty,Any,Any,*,0,0,60,Any, >50K
37-56,Private,Low,Any, Other-service,Any,Any,*,0,0,20,Any, <=50K
17-36,Government,Low,Any, Farming-fishing,Any,Any,*,0,0,40,Any, <=50K
37-56,Private,Low,Any, Transport-moving,Any,Any,*,0,2042,40,Any, <=50K
57-76,Private,Low,Any, Tech-support,Any,Any,*,0,0,40,Any, <=50K
37-56,Government,High,Any, Tech-support,Any,Any,*,0,0,40,Any, >50K
17-36,Private,Low,Any, Craft-repair,Any,Any,*,0,0,40,Any, <=50K
37-56,?,Medium,Any, ?,Any,Any,*,0,0,60,Any, >50K
37-56,Private,Low,Any, Exec-managerial,Any,Any,*,0,0,80,Any, <=50K
37-56,Private,Low,Any, Craft-repair,Any,Any,*,0,0,40,Any, <=50K
17-36,Government,Medium,Any, Protective-serv,Any,Any,*,0,0,52,Any, <=50K
17-36,Private,Medium,Any, Sales,Any,Any,*,0,0,44,Any, <=50K
37-56,Private,High,Any, Exec-managerial,Any,Any,*,0,1408,40,Any, <=50K
17-36,Government,Medium,Any, Adm-clerical,Any,Any,*,0,0,40,Any, <=50K
17-36,Government,Medium,Any, Other-service,Any,Any,*,0,0,15,Any, <=50K
37-56,Private,Low,Any, Machine-op-inspct,Any,Any,*,0,0,40,Any, <=50K
17-36,Private,Medium,Any, Machine-op-inspct,Any,Any,*,0,0,40,Any, <=50K
17-36,Private,Low,Any, Adm-clerical,Any,Any,*,0,0,25,Any, <=50K
17-36,Private,Medium,Any, Sales,Any,Any,*,0,0,38,Any, >50K
37-56,Self-employed,Medium,Any, Prof-specialty,Any,Any,*,0,0,40,Any, <=50K
17-36,Private,Low,Any, Machine-op-inspct,Any,Any,*,0,0,43,Any, <=50K
37-56,Self-employed,High,Any, Prof-specialty,Any,Any,*,0,0,40,Any, <=50K
17-36,Private,High,Any, Tech-support,Any,Any,*,0,0,50,Any, <=50K
37-56,Private,Low,Any, Adm-clerical,Any,Any,*,0,0,40,Any, <=50K
17-36,Private,Low,Any, Handlers-cleaners,Any,Any,*,0,0,35,Any, <=50K
57-76,Government,High,Any, Prof-specialty,Any,Any,*,0,0,40,Any, >50K
37-56,Private,Low,Any, Machine-op-inspct,Any,Any,*,0,0,38,Any, <=50K
37-56,Private,High,Any, Exec-managerial,Any,Any,*,0,0,40,Any, <=50K
37-56,Government,Medium,Any, Craft-repair,Any,Any,*,0,0,40,Any, <=50K
17-36,Private,Medium,Any, Prof-specialty,Any,Any,*,0,0,43,Any, <=50K
17-36,Private,Medium,Any, Exec-managerial,Any,Any,*,0,0,40,Any, <=50K
17-36,Private,Low,Any, Other-service,Any,Any,*,0,0,30,Any, <=50K
37-56,Private,High,Any, Prof-specialty,Any,Any,*,0,1902,60,Any, >50K
37-56,Government,High,Any, Exec-managerial,Any,Any,*,0,0,55,Any, >50K
37-56,Self-employed,Low,Any, Exec-managerial,Any,Any,*,0,0,60,Any, <=50K
37-56,Private,Medium,Any, Tech-support,Any,Any,*,0,0,40,Any, >50K
37-56,Private,Low,Any, Machine-op-inspct,Any,Any,*,0,0,40,Any, <=50K
17-36,Private,Medium,Any, Other-service,Any,Any,*,0,0,40,Any, <=50K
37-56,Private,Low,Any, Adm-clerical,Any,Any,*,0,0,48,Any, <=50K
17-36,Private,Low,Any, Machine-op-inspct,Any,Any,*,5013,0,40,Any, <=50K
